Train_ID,Train_Model,Manufacture_Year,Capacity,Coach_Count,Energy_Type,Maintenance_Date,Train_Status
TR0059,Metro-Pro,2022,1300,4,Electric,2026-06-29,Active
TR0060,Metro-EV,2022,1100,4,Hybrid,2026-08-03,Active
TR0061,Metro-X1,2018,1100,8,Electric,2026-07-31,Active
TR0062,Metro-X2,2020,1300,6,Electric,2026-06-20,Active
TR0063,Metro-Pro,2024,1500,8,Electric,2026-04-22,Active
TR0064,Metro-EV,2025,1500,6,Hybrid,2026-08-05,Active
TR0065,Metro-X1,2023,900,4,Electric,2026-06-05,Active
TR0066,Metro-X2,2023,1300,8,Electric,2026-05-08,Active
TR0067,Metro-Pro,2021,900,6,Electric,2026-07-07,Active
TR0068,Metro-EV,2023,1300,4,Hybrid,2026-01-19,Active
TR0069,Metro-X1,2019,900,4,Electric,2026-06-08,Active
TR0070,Metro-X2,2018,1100,6,Electric,2026-03-10,Active
TR0071,Metro-Pro,2020,1300,4,Electric,2026-02-10,Active
TR0072,Metro-EV,2024,1500,6,Hybrid,2026-08-15,Active
TR0073,Metro-X1,2021,1500,6,Electric,2026-01-23,Maintenance
TR0074,Metro-X2,2019,900,8,Electric,2026-03-31,Active
TR0075,Metro-Pro,2025,1500,6,Electric,2026-04-27,Active
TR0076,Metro-EV,2025,900,4,Hybrid,2026-08-03,Active
TR0077,Metro-X1,2023,900,8,Electric,2026-06-07,Active
TR0078,Metro-X2,2016,1300,8,Electric,2026-04-24,Active
TR0079,Metro-Pro,2016,1100,6,Electric,2026-03-15,Active
TR0080,Metro-EV,2017,1500,6,Hybrid,2026-05-24,Active
TR0081,Metro-X1,2020,1500,4,Electric,2026-03-30,Active
TR0082,Metro-X2,2024,1100,4,Electric,2026-06-03,Active
TR0083,Metro-Pro,2015,1100,6,Electric,2026-07-19,Active
TR0084,Metro-EV,2022,1300,8,Hybrid,2026-02-22,Active
TR0085,Metro-X1,2020,1100,8,Electric,2026-01-09,Active
TR0086,Metro-X2,2018,1300,4,Electric,2026-03-17,Active
TR0087,Metro-Pro,2021,900,6,Electric,2026-06-27,Active
TR0088,Metro-EV,2018,1500,4,Hybrid,2026-08-06,Active
TR0089,Metro-X1,2019,1100,6,Electric,2026-01-07,Active
TR0090,Metro-X2,2025,1300,8,Electric,2026-01-20,Active
TR0091,Metro-Pro,2019,900,4,Electric,2026-04-19,Active
TR0092,Metro-EV,2017,1500,8,Hybrid,2026-03-11,Active
TR0093,Metro-X1,2020,1100,8,Electric,2026-01-15,Active
TR0094,Metro-X2,2016,1500,8,Electric,2026-05-25,Active
TR0095,Metro-Pro,2014,900,4,Electric,2026-08-12,Active
TR0096,Metro-EV,2017,900,8,Hybrid,2026-07-08,Active
TR0097,Metro-X1,2021,1100,4,Electric,2026-04-09,Active
TR0098,Metro-X2,2020,1100,6,Electric,2026-07-14,Active
TR0099,Metro-Pro,2023,1100,8,Electric,2026-02-16,Active
TR0100,Metro-EV,2023,900,8,Hybrid,2026-05-27,Active
TR0101,Metro-X1,2018,1500,4,Electric,2026-01-22,Active
TR0102,Metro-X2,2017,1300,4,Electric,2026-03-21,Active
TR0103,Metro-Pro,2020,1500,8,Electric,2026-06-25,Active
TR0104,Metro-EV,2024,900,8,Hybrid,2026-07-22,Active
TR0105,Metro-X1,2023,1500,4,Electric,2026-05-05,Active
TR0106,Metro-X2,2024,900,6,Electric,2026-04-11,Active
TR0107,Metro-Pro,2021,900,4,Electric,2026-04-05,Active
TR0108,Metro-EV,2019,1300,8,Hybrid,2026-02-16,Active
TR0109,Metro-X1,2024,1100,8,Electric,2026-07-18,Active
TR0110,Metro-X2,2025,1500,8,Electric,2026-03-04,Active
TR0111,Metro-Pro,2015,900,4,Electric,2026-04-06,Active
TR0112,Metro-EV,2025,1100,8,Hybrid,2026-01-19,Active
TR0113,Metro-X1,2025,900,4,Electric,2026-04-30,Active
TR0114,Metro-X2,2014,900,4,Electric,2026-05-24,Active
TR0115,Metro-Pro,2016,1500,8,Electric,2026-06-17,Active
TR0116,Metro-EV,2015,1500,6,Hybrid,2026-05-20,Active
TR0117,Metro-X1,2018,900,6,Electric,2026-02-09,Active
TR0118,Metro-X2,2022,1100,6,Electric,2026-08-03,Active
TR0119,Metro-Pro,2017,900,8,Electric,2026-03-11,Active
TR0120,Metro-EV,2015,900,6,Hybrid,2026-04-14,Active
