Transaction_ID,Date,Department_ID,Region_ID,Product_Category,Budget_Revenue,Actual_Revenue,Budget_Expense,Actual_Expense,Headcount,Status
TXN0000039,2026-06-26 00:00:00,D004,R001,Software,198496.85,208136.73,129985.96,152823.31,145,Completed
TXN0000040,2024-01-31 00:00:00,D001,R001,Subscription,137742.63,160821.01,86589.81,55622.51,28,Completed
TXN0000041,2025-03-13 00:00:00,D003,R003,Consulting,140440.85,98757.76,56389.38,43910.76,107,Completed
TXN0000042,2025-06-27 00:00:00,D003,R003,Consulting,126446.3,,62894.62,62294.77,121,Completed
TXN0000043,2026-09-23 00:00:00,D007,R004,Support,90738.26,83447.75,49265.92,52139.41,44,Completed
TXN0000044,2024-05-04 00:00:00,D005,R002,Software,158558.12,162194.03,125002.83,113811.81,85,Completed
TXN0000045,2026-12-23 00:00:00,D001,R001,Subscription,125431.46,unknown,85183.18,84937.45,45,Completed
TXN0000046,2024-05-20 00:00:00,D009,R001,Services,108225.72,150413.0,97482.92,115615.74,157,Completed
TXN0000047,2025-05-19 00:00:00,D004,R001,Subscription,116242.14,119082.59,83027.03,98269.77,153,Cancelled
TXN0000048,2026-12-06 00:00:00,D001,R001,Consulting,104144.06,102881.22,75276.17,69977.39,85,Completed
TXN0000049,2025-05-03 00:00:00,D004,R001,Hardware,284643.49,314405.3,111820.72,72182.92,72,Pending
TXN0000050,2026-07-25 00:00:00,D003,R003,Hardware,266061.28,283776.69,145237.41,124327.66,85,Completed
TXN0000051,2024-07-23 00:00:00,D001,R001,Subscription,162010.3,217523.69,84451.48,84217.92,23,Cancelled
TXN0000052,2025-12-15 00:00:00,D004,R001,Services,193752.44,249576.68,58451.61,55165.4,22,Completed
TXN0000053,2025-09-11 00:00:00,D006,R003,Consulting,120317.25,135418.01,70005.11,52986.47,161,Cancelled
TXN0000054,2025-09-05 00:00:00,D001,R001,Subscription,170282.05,185701.29,80022.1,94292.08,174,Completed
TXN0000055,2024-11-14 00:00:00,D003,R003,Software,153140.56,162178.5,100140.81,115678.18,74,Completed
TXN0000056,2025-02-20 00:00:00,D010,R002,Hardware,270595.53,268679.94,131275.54,177031.11,180,Completed
TXN0000057,2024-07-08 00:00:00,D009,R001,Software,206743.49,178929.11,124317.77,143057.85,167,Pending
TXN0000058,2025-06-20 00:00:00,D005,R006,Services,157185.21,159000.55,,57719.38,46,Pending
TXN0000059,2024-01-20 00:00:00,D009,R001,Subscription,162793.48,166122.58,98570.26,92227.78,33,Completed
TXN0000060,30-10-2024,D003,R003,Hardware,265861.19,305632.6,163366.57,182667.49,115,Completed
TXN0000061,2026-01-02 00:00:00,D001,R001,Software,182456.07,176512.49,98081.95,111380.15,58,Completed
TXN0000062,2026-04-12 00:00:00,D002,R002,Subscription,171892.43,183773.76,81882.37,70231.49,163,Completed
TXN0000063,2026-04-24 00:00:00,D004,R001,Services,128129.83,96957.19,88155.88,109817.27,11,Completed
TXN0000064,2025-05-23 00:00:00,D006,R003,Consulting,108835.01,129448.55,73404.48,76588.49,73,Completed
TXN0000065,2026-08-21 00:00:00,D002,R002,Software,179383.87,131479.96,92355.48,86868.56,61,Completed
TXN0000066,2025-04-01 00:00:00,D008,R004,Services,153087.53,199816.85,105845.25,102364.19,11,Completed
TXN0000067,2025-07-25 00:00:00,D007,R004,Software,187260.6,153730.16,110221.63,117923.9,94,Cancelled
TXN0000068,2025-11-09 00:00:00,D007,R004,Subscription,201792.94,207375.79,103813.5,109664.21,12,Completed
TXN0000069,2024-03-19 00:00:00,D005,R002,Hardware,306716.2,263488.62,126247.48,108048.4,32,Cancelled
TXN0000070,2026-06-12 00:00:00,D007,R004,Hardware,189938.35,246128.54,148489.14,203917.67,160,Cancelled
TXN0000071,2025-01-24 00:00:00,D002,R002,Subscription,187372.21,190165.05,81692.59,78482.73,70,Completed
TXN0000072,2026-06-02 00:00:00,D007,R005,Hardware,266705.83,326307.88,134115.12,125873.77,22,Completed
TXN0000073,2025-09-07 00:00:00,D010,R002,Software,176288.91,176326.66,131785.57,129356.57,134,Completed
TXN0000074,2025-08-28 00:00:00,D007,R004,Support,82708.94,83142.0,60481.08,54355.12,146,Completed
TXN0000075,2024-12-22 00:00:00,D004,R001,Consulting,141011.33,151133.58,62324.35,58802.47,162,Cancelled
TXN0000076,2025-09-14 00:00:00,D005,R002,Software,230257.32,245094.71,112035.87,136564.75,78,Completed
TXN0000077,2025-10-21 00:00:00,D007,R004,Subscription,152829.83,144733.85,103990.62,79800.32,124,Pending
TXN0000078,2026-08-27 00:00:00,D008,R004,Subscription,132210.2,128407.3,99879.14,65581.52,48,Completed
TXN0000079,2025-11-17 00:00:00,D005,R002,Support,70831.21,86864.38,37054.76,36476.67,28,Completed
TXN0000080,2024-10-28 00:00:00,D005,R002,Services,181041.11,198658.34,66230.62,85910.94,11,Completed
TXN0000081,2024-05-29 00:00:00,D004,R001,Subscription,171061.08,162712.48,89529.2,90149.43,121,Pending
TXN0000082,2026-02-25 00:00:00,D010,R002,Support,95938.89,88038.14,46729.06,47895.79,131,Pending
TXN0000083,2024-01-12 00:00:00,D004,R001,Support,74031.24,66199.81,59435.61,41049.32,32,Pending
TXN0000084,2026-11-26 00:00:00,D004,R001,Support,88266.11,88277.83,45889.87,45049.65,123,Completed
TXN0000085,2026-07-23 00:00:00,D009,R001,Software,157328.89,180119.47,113766.05,146923.59,39,Pending
TXN0000086,2025-10-11 00:00:00,D009,R001,Subscription,177688.0,161712.63,100908.11,90603.03,118,Cancelled
TXN0000087,2026-07-02 00:00:00,D009,R001,Subscription,116362.5,120052.46,109682.99,127255.94,45,Pending
TXN0000088,2025-07-21 00:00:00,D008,R004,Services,217587.8,169425.89,100226.22,98913.47,138,Pending
TXN0000089,2025-08-08 00:00:00,D004,R001,Software,155494.24,107300.53,84968.33,78510.16,65,Completed
TXN0000090,2024-06-14 00:00:00,D006,R003,Subscription,208589.68,240373.29,102695.61,97541.08,40,Completed
TXN0000091,2025-03-14 00:00:00,D004,R001,Services,178382.73,173479.26,92329.18,76548.16,21,Pending
TXN0000092,2026-05-01 00:00:00,D007,R004,Consulting,145838.99,138846.16,99218.51,130695.48,20,Completed
TXN0000093,2024-02-10 00:00:00,D007,R004,Subscription,141261.49,unknown,82985.39,78334.27,152,Pending
TXN0000094,2026-03-09 00:00:00,D008,R006,Hardware,230710.09,184106.69,143834.48,145339.06,112,Cancelled
TXN0000095,2026-09-26 00:00:00,D009,R001,Services,152623.11,186008.92,,77137.94,61,Completed
TXN0000096,2025-11-19 00:00:00,D007,R004,Consulting,110090.97,101953.25,82938.48,81425.89,176,Pending
TXN0000097,2026-12-29 00:00:00,D003,R003,Services,146545.01,146174.96,72701.29,72218.9,11,Pending
TXN0000098,2024-06-20 00:00:00,D010,R002,Software,158880.51,166125.82,110834.22,94995.79,169,Pending
TXN0000099,2024-04-12 00:00:00,D003,R003,Services,161059.44,171377.15,69635.99,70408.34,71,Pending
TXN0000100,2025-11-22 00:00:00,D006,R003,Hardware,242852.06,282545.95,140289.35,178873.04,102,Completed
TXN0000101,2026-08-21 00:00:00,D007,R004,Software,182805.51,196204.58,107260.08,121536.83,9,Cancelled
TXN0000102,2025-04-04 00:00:00,D001,R001,Hardware,200690.79,187185.55,134964.65,167246.67,171,Completed
TXN0000103,2025-02-12 00:00:00,D001,R001,Services,161952.34,150538.85,80566.08,89223.5,10,Cancelled
TXN0000104,2024-08-22 00:00:00,D003,R003,Consulting,82907.18,89516.25,71725.6,74645.81,149,Completed
TXN0000105,2024-12-09 00:00:00,D008,R004,Hardware,252844.46,277759.57,93701.66,105020.52,160,Cancelled
TXN0000106,2025-09-29 00:00:00,D002,R002,Services,148530.11,158460.37,79352.08,84163.64,32,Cancelled
TXN0000107,2026-02-07 00:00:00,D001,R001,Subscription,146770.41,135486.8,77762.24,87707.01,106,Completed
TXN0000108,2025-05-12 00:00:00,D002,R002,Support,97759.47,96787.92,57936.23,64473.38,31,Completed
TXN0000109,2024-03-25 00:00:00,D010,R002,SUBSCRIPTION,147204.35,140993.48,95433.13,114628.39,93,Cancelled
TXN0000110,2026-11-02 00:00:00,D007,R004,Software,193395.29,165116.88,143031.61,146753.57,170,Completed
TXN0000111,2024-08-04 00:00:00,D001,R001,Consulting,139723.23,140774.13,75324.09,79483.13,115,Completed
TXN0000112,2024-12-26 00:00:00,D008,R004,Consulting,127461.38,131156.69,84825.32,111706.18,138,Completed
TXN0000113,2026-09-17 00:00:00,D010,R002,Subscription,214202.31,207868.83,109374.05,125327.32,124,Pending
TXN0000114,2024-06-26 00:00:00,D010,R002,Services,141404.27,149003.68,99881.0,96431.99,76,Pending
TXN0000115,2026-02-15 00:00:00,D004,R001,Subscription,130851.39,122595.64,66170.06,71433.29,91,Completed
TXN0000116,2026-09-25 00:00:00,D008,R004,SERVICES,131538.23,119639.01,107698.69,104617.46,59,Completed
TXN0000117,2025-07-19 00:00:00,D005,R002,Subscription,82329.66,106512.43,89218.15,91489.42,147,Completed
TXN0000118,2025-05-09 00:00:00,D009,R001,Software,171288.01,158984.36,90525.14,117943.25,109,Pending
TXN0000119,2026-09-02 00:00:00,D009,R001,Support,90225.65,80942.42,54787.7,61802.76,170,Pending
TXN0000120,2025-08-25 00:00:00,D008,R004,Software,178938.79,187839.29,100435.72,95001.01,61,Pending
TXN0000121,2026-01-25 00:00:00,D004,R001,Subscription,83652.07,81458.87,105717.7,109666.4,126,Cancelled
TXN0000122,2025-11-08 00:00:00,D009,R001,Support,67198.31,74598.65,48155.21,49989.53,95,Pending
TXN0000123,2024-09-04 00:00:00,D005,R002,Services,158186.14,110956.7,69644.9,62951.38,54,Completed
TXN0000124,2025-01-14 00:00:00,D002,R002,Support,70201.53,60124.71,61274.39,61026.28,54,Completed
TXN0000125,2026-12-10 00:00:00,D008,R004,Subscription,149604.17,162376.27,106694.35,103446.1,157,Completed
TXN0000126,2025-04-10 00:00:00,,R002,Hardware,232914.87,228314.91,115974.17,139454.54,97,Completed
TXN0000127,2024-04-03 00:00:00,D005,R005,Hardware,192107.99,192366.69,112323.7,120255.03,18,Cancelled
TXN0000128,2026-10-02 00:00:00,D005,R002,Services,87535.38,84483.83,108071.81,141850.41,31,Completed
TXN0000129,2026-06-21 00:00:00,D010,R002,Consulting,124153.22,140958.14,89416.15,102655.46,92,Completed
TXN0000130,2024-08-21 00:00:00,D001,R001,Consulting,131925.54,140695.4,55204.35,53540.96,21,Pending
TXN0000131,2024-11-01 00:00:00,D008,R005,Services,140464.54,130324.11,89727.11,84606.1,149,Completed
TXN0000132,2026-05-02 00:00:00,D002,R002,Software,193227.39,206664.45,80034.53,96363.55,160,Cancelled
TXN0000133,2026-02-18 00:00:00,D010,R002,Subscription,207965.66,179546.82,104606.93,115691.49,120,Pending
TXN0000134,2025-09-17 00:00:00,D005,R002,Consulting,110941.58,103000.09,76317.27,85468.49,150,Cancelled
TXN0000135,2024-07-22 00:00:00,D001,R001,Support,80093.41,76580.27,42621.38,44086.97,58,Completed
TXN0000136,2025-05-06 00:00:00,D005,R002,Services,116075.15,118232.85,120800.4,159421.57,49,Cancelled
TXN0000137,2026-07-11 00:00:00,D002,R002,Consulting,112048.15,117794.52,77483.64,79220.16,157,Pending
TXN0000138,2025-08-02 00:00:00,D005,R006,Support,89433.19,97347.08,70583.05,67933.96,121,Completed
TXN0000139,2025-02-09 00:00:00,D004,R001,Support,100245.01,89607.71,63558.48,66191.86,113,Completed
TXN0000140,2025-06-28 00:00:00,D009,R001,Services,138124.28,129203.44,93441.14,100189.19,41,Completed
TXN0000141,2025-08-14 00:00:00,D001,R001,Hardware,242167.7,256080.31,170074.11,185951.66,117,Completed
TXN0000142,2026-04-04 00:00:00,D008,R004,Support,96959.82,85311.23,56827.65,61985.97,74,Cancelled
TXN0000143,2024-03-22 00:00:00,D009,R001,Software,178718.41,212281.82,121994.41,138022.98,115,Completed
TXN0000144,2025-04-13 00:00:00,D888,R002,Software,183114.31,170064.53,101863.95,87533.79,177,Cancelled
TXN0000145,2025-07-05 00:00:00,D010,R002,Support,110343.25,95690.58,47127.46,46617.33,152,Completed
TXN0000146,2026-06-24 00:00:00,D003,R003,Support,106715.88,123019.49,41927.07,46367.48,76,Completed
TXN0000147,2024-07-05 00:00:00,D010,R002,Consulting,113361.01,111133.5,93137.66,102212.84,125,Completed
TXN0000148,2024-08-02 00:00:00,D007,R004,Support,115589.07,101501.92,50398.83,42329.94,46,Completed
TXN0000149,2026-03-31 00:00:00,D007,R004,Hardware,180236.03,147488.31,127187.1,92933.15,145,Completed
TXN0000150,2025-10-24 00:00:00,D008,R004,Hardware,281399.82,267549.87,121838.19,157148.51,34,Pending
TXN0000151,2026-08-04 00:00:00,D009,R001,Software,178397.38,190299.67,121876.82,109418.39,110,Completed
TXN0000152,2026-10-17 00:00:00,D004,R001,Subscription,168328.06,150873.71,125356.32,108313.85,165,Pending
TXN0000153,2024-09-25 00:00:00,D001,R001,Subscription,141643.25,125238.69,107121.84,,78,Pending
TXN0000154,2025-05-05 00:00:00,D008,R004,Support,76515.84,88723.74,59148.46,54630.85,45,Completed
TXN0000155,2025-04-05 00:00:00,D009,R006,Software,230139.17,184302.04,141607.45,161142.68,34,Pending
TXN0000156,2026-10-17 00:00:00,D002,R002,Services,147203.81,155045.13,89548.61,91311.83,79,Cancelled
TXN0000157,2026-08-25 00:00:00,D005,R002,Consulting,93965.32,97015.18,67111.89,66449.97,67,Pending
TXN0000158,2026-11-06 00:00:00,D009,R001,Services,139586.14,136845.28,101162.15,109770.4,39,Completed
TXN0000159,2025-11-27 00:00:00,D005,R002,Consulting,140342.56,132068.43,98455.96,116594.81,134,Completed
TXN0000160,2026-09-29 00:00:00,D001,R001,Hardware,,279803.56,156768.76,168369.71,43,Pending
TXN0000161,2026-02-11 00:00:00,D009,R001,Hardware,213382.12,216626.45,148403.76,168382.96,121,Completed
TXN0000162,2026-02-23 00:00:00,D004,R001,Services,140724.37,102391.7,102386.95,100497.09,64,Pending
TXN0000163,2026-02-19 00:00:00,D001,R001,Consulting,94403.24,98528.54,85074.44,89994.38,103,Completed
TXN0000164,2026-10-25 00:00:00,D008,R004,Services,146284.47,190648.34,106453.36,104958.77,156,Completed
TXN0000165,2024-07-23 00:00:00,D002,R002,Consulting,114955.24,115620.09,78360.13,80149.77,139,Pending
TXN0000166,2024-11-12 00:00:00,D001,R001,Consulting,151888.55,121754.0,57478.05,67246.48,24,Pending
TXN0000167,2026-03-25 00:00:00,D005,R002,Support,115361.49,117070.33,54421.4,48495.6,171,Completed
TXN0000168,2026-02-17 00:00:00,D006,R003,Subscription,172672.42,184593.09,82770.42,79084.33,86,Pending
TXN0000169,2025-08-11 00:00:00,D009,R005,Services,107736.33,141543.63,96865.42,84904.37,63,Completed
TXN0000170,2024-07-24 00:00:00,D007,R004,Support,119915.52,119751.41,45583.25,45206.94,118,Completed
TXN0000171,31-02-2025,D005,R002,Software,172183.95,149398.15,116196.17,90013.81,19,Completed
TXN0000172,2025-05-15 00:00:00,D006,R003,Services,137929.79,178469.39,100195.22,89724.76,140,Pending
TXN0000173,2024-12-14 00:00:00,D010,R002,Services,154358.14,178612.37,91088.84,98053.89,49,Completed
TXN0000174,2025-05-08 00:00:00,D010,R002,Subscription,157415.61,124751.89,110737.69,103932.55,132,Cancelled
TXN0000175,2025-06-04 00:00:00,D003,R003,Support,89349.44,76292.86,42409.18,43093.87,122,Completed
TXN0000176,2025-08-12 00:00:00,D001,R001,Consulting,114960.87,80510.3,53023.18,39291.81,178,Cancelled
TXN0000177,2025-09-04 00:00:00,D003,R006,Subscription,114383.6,115057.97,100949.97,115920.71,168,Pending
TXN0000178,2025-02-11 00:00:00,D005,R002,Hardware,219857.34,231104.3,118125.94,124188.17,103,Pending
TXN0000179,2026-01-05 00:00:00,D002,R002,Subscription,166001.42,129710.8,60599.02,58375.08,152,Completed
TXN0000180,01/17/2024,D005,R006,Hardware,291188.39,347180.97,159867.55,162033.08,149,Completed
TXN0000181,2025-04-16 00:00:00,D010,R002,Hardware,222361.36,243580.74,129991.07,153173.72,160,Completed
TXN0000182,2025-05-28 00:00:00,D004,R001,Subscription,190227.12,164417.56,82292.61,95347.86,178,Completed
TXN0000183,2024-03-21 00:00:00,D002,R002,Support,123619.23,121274.12,48935.15,55210.87,84,Pending
TXN0000184,2024-09-26 00:00:00,D001,R001,Support,84810.37,110439.49,58732.66,56295.87,28,Completed
TXN0000185,2025-02-15 00:00:00,D006,R003,Services,139386.26,139599.08,114134.88,120249.73,38,Cancelled
TXN0000186,2024-12-02 00:00:00,D006,R003,Hardware,244295.31,198057.24,121271.21,77637.49,70,Pending
TXN0000187,2024-08-23 00:00:00,D005,R002,Hardware,235809.24,239171.05,160014.95,148321.27,124,Completed
TXN0000188,2026-03-24 00:00:00,D003,R003,Services,145656.19,151696.8,99240.54,113995.69,147,Completed
TXN0000189,2025-06-25 00:00:00,D002,R002, software ,174406.88,171085.42,125552.41,137902.44,142,Completed
TXN0000190,2025-06-20 00:00:00,D008,R004,Support,79865.88,82676.74,58483.07,65777.96,154,Pending
TXN0000191,2026-08-23 00:00:00,D006,R003,Services,139356.04,132529.07,100949.11,106406.44,11,Cancelled
TXN0000192,2025-03-29 00:00:00,,R001,Subscription,193084.45,169351.73,64948.12,67828.14,170,Completed
TXN0000193,2026-04-16 00:00:00,D008,R004,Hardware,201479.03,258569.19,153038.89,142536.76,34,Completed
TXN0000194,2026-10-05 00:00:00,D001,R001,Hardware,259452.17,272658.85,133544.85,135805.24,34,Completed
TXN0000195,03/06/2026,D004,R001,Services,131213.97,92672.9,80250.1,99348.55,121,Completed
TXN0000196,2024-11-12 00:00:00,D009,R001,Support,96187.35,101026.04,58784.37,67170.05,111,Completed
TXN0000197,2024-03-08 00:00:00,,R004,Hardware,217164.59,223611.82,144136.44,186909.22,99,Completed
TXN0000198,2026-01-12 00:00:00,D008,R004,Services,141981.61,121556.35,57824.47,52063.6,30,Completed
TXN0000199,2026-01-04 00:00:00,D009,R001,Support,106167.76,110157.22,29512.95,28700.81,20,Pending
TXN0000200,2026-07-20 00:00:00,D005,R002,Software,199853.87,251321.82,91459.89,88906.44,28,Completed
TXN0000201,2025-11-14 00:00:00,D010,R002,Software,173821.89,185334.22,113826.82,132506.67,67,Completed
TXN0000202,2025-02-28 00:00:00,D010,R002,Subscription,229218.37,270676.49,89170.29,97902.11,155,Completed
TXN0000203,2024-01-06 00:00:00,D004,R001,Services,156096.0,157790.76,69455.13,70363.35,75,Completed
TXN0000204,2024-08-13 00:00:00,D003,R003,Services,138383.71,168178.05,89471.17,104433.86,174,Completed
TXN0000205,2025-10-25 00:00:00,D003,R005,Subscription,152968.29,156791.65,103882.86,111601.22,9,Completed
TXN0000206,2024-08-20 00:00:00,D005,R006,Subscription,151430.17,173037.04,109810.18,96689.04,21,Pending
TXN0000207,2024-08-11 00:00:00,D008,R004,Subscription,128427.28,122082.37,69263.27,64974.23,120,Cancelled
TXN0000208,2026-12-03 00:00:00,D004,R001,Software,159297.64,158376.34,86713.62,80751.18,82,Pending
TXN0000209,2026-05-23 00:00:00,D001,R006,Consulting,109516.62,97019.59,103389.62,125862.53,180,Completed
TXN0000210,2024-05-30 00:00:00,D008,R004,Consulting,93734.62,106280.06,55991.95,60505.83,25,Completed
TXN0000211,2025-07-17 00:00:00,D010,R002,Services,154987.81,202634.4,96606.45,70512.7,164,Cancelled
TXN0000212,2026-12-22 00:00:00,D009,R001,Consulting,127344.52,100652.69,75238.87,96957.28,80,Pending
TXN0000213,2024-08-22 00:00:00,D009,R001,Software,125148.2,126443.44,108269.22,112228.65,172,Cancelled
TXN0000214,2026-04-27 00:00:00,D004,R001,Services,163141.58,167428.14,63641.19,61604.62,91,Pending
TXN0000215,2025-10-02 00:00:00,D007,R004,Software,197821.69,177666.11,92957.14,99012.03,114,Completed
TXN0000216,2026-08-29 00:00:00,D005,R002,Services,99856.56,129070.31,90990.46,93808.72,22,Completed
TXN0000217,2026-02-02 00:00:00,D002,R002,Software,184057.27,235945.1,102442.46,107743.19,38,Cancelled
TXN0000218,2025-11-06 00:00:00,D001,R001,Subscription,139782.64,140208.87,80454.23,76350.68,176,Completed
TXN0000219,2026-05-16 00:00:00,D007,R004,Support,78361.8,87691.51,62875.33,62231.61,18,Completed
TXN0000220,2026-11-05 00:00:00,D010,R002,Software,152934.76,166674.03,147754.62,131844.79,59,Completed
TXN0000221,2025-12-18 00:00:00,D008,R004,Software,173996.68,132217.54,107715.16,122827.21,147,Completed
TXN0000222,2025-04-08 00:00:00,D002,R002,Subscription,143944.24,147437.37,70274.84,74770.16,114,Cancelled
TXN0000223,2024-02-23 00:00:00,D010,R002,Support,117178.75,126257.82,50128.42,68749.42,160,Completed
TXN0000224,2025-09-24 00:00:00,D001,R001,Support,83858.13,66669.62,53208.49,58957.3,91,Completed
TXN0000225,2026-03-31 00:00:00,D001,R001,Services,123638.21,102692.53,68354.41,66482.09,22,Completed
TXN0000226,2025-03-16 00:00:00,D001,R001,Subscription,169529.35,177386.43,102002.82,95608.05,101,Pending
TXN0000227,2025-09-30 00:00:00,D008,R004,Hardware,286233.87,291147.14,154721.24,136595.52,88,Cancelled
TXN0000228,2024-11-14 00:00:00,D010,R002,Software,197455.69,180858.41,93796.14,94508.76,45,Cancelled
TXN0000229,2026-06-26 00:00:00,D001,R001,Hardware,190873.01,192713.04,173677.36,197893.8,174,Pending
TXN0000230,2025-07-13 00:00:00,D008,R004,Consulting,152294.7,153254.94,77723.28,80669.73,60,Cancelled
TXN0000231,2025-08-03 00:00:00,D002,R002,Software,184326.73,206316.61,107316.53,106824.93,178,Cancelled
TXN0000232,2024-04-03 00:00:00,D008,R004,Hardware,147286.27,150705.76,156785.4,168109.09,61,Pending
TXN0000233,2025-03-08 00:00:00,D010,R005,Hardware,219759.59,282012.38,164452.99,188547.37,40,Completed
TXN0000234,2026-10-15 00:00:00,D005,R002,Software,209778.08,236434.54,104891.17,124989.83,115,Completed
TXN0000235,2025-04-16 00:00:00,D003,R003,Support,87165.65,80293.85,48349.44,50746.85,133,Cancelled
TXN0000236,2024-02-08 00:00:00,D006,R005,Consulting,149432.65,137352.9,81772.33,96524.19,122,Completed
TXN0000237,2026-04-08 00:00:00,D006,R003,Subscription,200037.98,177218.21,98032.47,101835.28,168,Pending
TXN0000238,2025-10-27 00:00:00,D005,,Software,160251.8,115789.18,106709.31,96234.84,48,Cancelled
TXN0000239,2024-06-29 00:00:00,D008,R004,Hardware,217208.25,208942.1,156286.84,163265.47,116,Completed
TXN0000240,2026-12-09 00:00:00,D004,R001,Consulting,97781.87,102581.57,83295.13,91991.7,25,Pending
TXN0000241,2025-11-13 00:00:00,D005,R002,Services,143746.42,180560.36,80415.63,77778.92,48,Completed
TXN0000242,2026-11-10 00:00:00,D009,R001,Subscription,148820.51,151616.91,92453.99,124476.52,54,Completed
TXN0000243,2024-10-29 00:00:00,D006,R003,Support,105382.78,100462.01,41932.9,40599.76,65,Completed
TXN0000244,2024-11-09 00:00:00,D003,R003,Services,110513.15,123861.67,60493.07,60757.48,172,Completed
TXN0000245,2026-10-08 00:00:00,D003,R003,Support,81150.84,81095.72,58447.88,58553.36,123,Cancelled
TXN0000246,2025-10-23 00:00:00,D010,R002,Subscription,163443.91,163269.17,75987.81,84026.21,165,Completed
TXN0000247,06/24/2026,D003,R003,Consulting,unknown,115068.21,65240.8,59030.76,166,Completed
