Transaction_ID,Date,Department_ID,Region_ID,Product_Category,Budget_Revenue,Actual_Revenue,Budget_Expense,Actual_Expense,Headcount,Status,Revenue_Variance,Expense_Variance
TXN0000023,2025-03-09,D009,R001,SUPPORT,102814.72,104927.4,46997.39,54166.26,168,Cancelled,2112.679999999993,7168.870000000003
TXN0000024,2025-02-28,D010,R002,HARDWARE,180774.76,134589.47,131861.89,138852.65,143,Cancelled,-46185.29000000001,6990.75999999998
TXN0000025,2024-09-02,D001,R001,CONSULTING,101098.17,103247.79,81758.88,79144.64,33,Completed,2149.6199999999953,-2614.2400000000052
TXN0000026,2024-10-06,D005,R002,SERVICES,160500.63,175573.82,68260.25,72301.01,26,Pending,15073.190000000002,4040.7599999999948
TXN0000027,2024-09-14,D002,R002,SUBSCRIPTION,167484.62,170825.05,101258.25,100302.23,37,Pending,3340.429999999993,-956.0200000000041
TXN0000028,2026-05-16,D009,R001,SUBSCRIPTION,167214.19,179122.71,94988.85,81018.53,59,Cancelled,11908.51999999999,-13970.320000000007
TXN0000029,2026-03-02,D004,R001,CONSULTING,166979.93,172125.31,81761.81,82519.31,117,Cancelled,5145.380000000005,757.5
TXN0000030,2024-11-05,D008,R004,SERVICES,169196.61,155988.0,73838.72,91363.62,91,Completed,-13208.609999999986,17524.899999999994
TXN0000031,2025-03-27,D007,R002,SUBSCRIPTION,152932.82,155988.0,79146.2,78791.42,6,Completed,3055.179999999993,-354.77999999999884
TXN0000032,2025-07-11,D001,R001,SOFTWARE,188964.78,215403.97,124558.43,142755.09,23,Cancelled,26439.190000000002,18196.660000000003
TXN0000033,2025-02-28,D004,R001,CONSULTING,139077.52,133723.05,65576.96,48682.13,143,Completed,-5354.470000000001,-16894.83000000001
TXN0000034,2026-08-26,D010,R002,SERVICES,134368.74,99395.62,94710.41,122875.91,109,Completed,-34973.119999999995,28165.5
TXN0000035,2025-12-26,D002,R002,CONSULTING,105947.14,122909.68,57579.46,52640.82,113,Pending,16962.539999999994,-4938.639999999999
TXN0000036,2024-07-20,D008,R004,SOFTWARE,185611.06,197166.83,116781.59,97738.73,20,Pending,11555.76999999999,-19042.86
TXN0000037,2025-05-24,D006,R003,SOFTWARE,191592.31,193168.63,119869.81,121736.87,54,Completed,1576.320000000007,1867.0599999999977
TXN0000038,2025-10-01,D009,R001,CONSULTING,136588.29,159651.78,82247.64,106297.09,76,Pending,23063.48999999999,24049.449999999997
TXN0000039,2026-06-26,D004,R001,SOFTWARE,198496.85,208136.73,129985.96,152823.31,145,Completed,9639.880000000005,22837.34999999999
TXN0000040,2024-01-31,D001,R001,SUBSCRIPTION,137742.63,160821.01,86589.81,55622.51,28,Completed,23078.380000000005,-30967.299999999996
TXN0000041,2025-03-13,D003,R003,CONSULTING,140440.85,98757.76,56389.38,43910.76,107,Completed,-41683.09000000001,-12478.619999999995
TXN0000042,2025-06-27,D003,R003,CONSULTING,126446.3,155988.0,62894.62,62294.77,121,Completed,29541.699999999997,-599.8500000000058
TXN0000043,2026-09-23,D007,R004,SUPPORT,90738.26,83447.75,49265.92,52139.41,44,Completed,-7290.509999999995,2873.4900000000052
TXN0000044,2024-04-05,D005,R002,SOFTWARE,158558.12,162194.03,125002.83,113811.81,85,Completed,3635.9100000000035,-11191.020000000004
TXN0000045,2026-12-23,D001,R001,SUBSCRIPTION,125431.46,155988.0,85183.18,84937.45,45,Completed,30556.539999999994,-245.72999999999593
TXN0000046,2024-05-20,D009,R001,SERVICES,108225.72,150413.0,97482.92,115615.74,157,Completed,42187.28,18132.820000000007
TXN0000047,2025-05-19,D004,R001,SUBSCRIPTION,116242.14,119082.59,83027.03,98269.77,153,Cancelled,2840.449999999997,15242.740000000005
TXN0000048,2026-06-12,D001,R001,CONSULTING,104144.06,102881.22,75276.17,69977.39,85,Completed,-1262.8399999999965,-5298.779999999999
TXN0000049,2025-03-05,D004,R001,HARDWARE,284643.49,314405.3,111820.72,72182.92,72,Pending,29761.809999999998,-39637.8
TXN0000050,2026-07-25,D003,R003,HARDWARE,266061.28,283776.69,145237.41,124327.66,85,Completed,17715.409999999974,-20909.75
TXN0000051,2024-07-23,D001,R001,SUBSCRIPTION,162010.3,217523.69,84451.48,84217.92,23,Cancelled,55513.390000000014,-233.55999999999767
TXN0000052,2025-12-15,D004,R001,SERVICES,193752.44,249576.68,58451.61,55165.4,22,Completed,55824.23999999999,-3286.209999999999
TXN0000053,2025-11-09,D006,R003,CONSULTING,120317.25,135418.01,70005.11,52986.47,161,Cancelled,15100.76000000001,-17018.64
TXN0000054,2025-05-09,D001,R001,SUBSCRIPTION,170282.05,185701.29,80022.1,94292.08,174,Completed,15419.24000000002,14269.979999999996
TXN0000055,2024-11-14,D003,R003,SOFTWARE,153140.56,162178.5,100140.81,115678.18,74,Completed,9037.940000000002,15537.369999999995
TXN0000056,2025-02-20,D010,R002,HARDWARE,270595.53,268679.94,131275.54,177031.11,180,Completed,-1915.5900000000256,45755.56999999998
TXN0000057,2024-08-07,D009,R001,SOFTWARE,206743.49,178929.11,124317.77,143057.85,167,Pending,-27814.380000000005,18740.08
TXN0000058,2025-06-20,D005,R006,SERVICES,157185.21,159000.55,92964.0,57719.38,46,Pending,1815.3399999999965,-35244.62
TXN0000059,2024-01-20,D009,R001,SUBSCRIPTION,162793.48,166122.58,98570.26,92227.78,33,Completed,3329.0999999999767,-6342.479999999996
TXN0000060,2024-10-30,D003,R003,HARDWARE,265861.19,305632.6,163366.57,182667.49,115,Completed,39771.409999999974,19300.919999999984
TXN0000061,2026-02-01,D001,R001,SOFTWARE,182456.07,176512.49,98081.95,111380.15,58,Completed,-5943.580000000016,13298.199999999997
TXN0000062,2026-12-04,D002,R002,SUBSCRIPTION,171892.43,183773.76,81882.37,70231.49,163,Completed,11881.330000000016,-11650.87999999999
TXN0000063,2026-04-24,D004,R001,SERVICES,128129.83,96957.19,88155.88,109817.27,11,Completed,-31172.64,21661.39
TXN0000064,2025-05-23,D006,R003,CONSULTING,108835.01,129448.55,73404.48,76588.49,73,Completed,20613.540000000008,3184.0100000000093
TXN0000065,2026-08-21,D002,R002,SOFTWARE,179383.87,131479.96,92355.48,86868.56,61,Completed,-47903.91,-5486.919999999998
TXN0000066,2025-01-04,D008,R004,SERVICES,153087.53,199816.85,105845.25,102364.19,11,Completed,46729.32000000001,-3481.0599999999977
TXN0000067,2025-07-25,D007,R004,SOFTWARE,187260.6,153730.16,110221.63,117923.9,94,Cancelled,-33530.44,7702.2699999999895
TXN0000068,2025-09-11,D007,R004,SUBSCRIPTION,201792.94,207375.79,103813.5,109664.21,12,Completed,5582.850000000006,5850.710000000006
TXN0000069,2024-03-19,D005,R002,HARDWARE,306716.2,263488.62,126247.48,108048.4,32,Cancelled,-43227.580000000016,-18199.08
TXN0000070,2026-12-06,D007,R004,HARDWARE,189938.35,246128.54,148489.14,203917.67,160,Cancelled,56190.19,55428.53
TXN0000071,2025-01-24,D002,R002,SUBSCRIPTION,187372.21,190165.05,81692.59,78482.73,70,Completed,2792.8399999999965,-3209.8600000000006
TXN0000072,2026-02-06,D007,R005,HARDWARE,266705.83,326307.88,134115.12,125873.77,22,Completed,59602.04999999999,-8241.349999999991
TXN0000073,2025-07-09,D010,R002,SOFTWARE,176288.91,176326.66,131785.57,129356.57,134,Completed,37.75,-2429.0
TXN0000074,2025-08-28,D007,R004,SUPPORT,82708.94,83142.0,60481.08,54355.12,146,Completed,433.0599999999977,-6125.959999999999
TXN0000075,2024-12-22,D004,R001,CONSULTING,141011.33,151133.58,62324.35,58802.47,162,Cancelled,10122.25,-3521.8799999999974
TXN0000076,2025-09-14,D005,R002,SOFTWARE,230257.32,245094.71,112035.87,136564.75,78,Completed,14837.389999999985,24528.880000000005
TXN0000077,2025-10-21,D007,R004,SUBSCRIPTION,152829.83,144733.85,103990.62,79800.32,124,Pending,-8095.979999999981,-24190.29999999999
TXN0000078,2026-08-27,D008,R004,SUBSCRIPTION,132210.2,128407.3,99879.14,65581.52,48,Completed,-3802.9000000000087,-34297.619999999995
TXN0000079,2025-11-17,D005,R002,SUPPORT,70831.21,86864.38,37054.76,36476.67,28,Completed,16033.169999999998,-578.0900000000038
TXN0000080,2024-10-28,D005,R002,SERVICES,181041.11,198658.34,66230.62,85910.94,11,Completed,17617.23000000001,19680.320000000007
TXN0000081,2024-05-29,D004,R001,SUBSCRIPTION,171061.08,162712.48,89529.2,90149.43,121,Pending,-8348.599999999977,620.2299999999959
TXN0000082,2026-02-25,D010,R002,SUPPORT,95938.89,88038.14,46729.06,47895.79,131,Pending,-7900.75,1166.7300000000032
TXN0000083,2024-12-01,D004,R001,SUPPORT,74031.24,66199.81,59435.61,41049.32,32,Pending,-7831.430000000008,-18386.29
TXN0000084,2026-11-26,D004,R001,SUPPORT,88266.11,88277.83,45889.87,45049.65,123,Completed,11.720000000001164,-840.2200000000012
TXN0000085,2026-07-23,D009,R001,SOFTWARE,157328.89,180119.47,113766.05,146923.59,39,Pending,22790.579999999987,33157.53999999999
TXN0000086,2025-11-10,D009,R001,SUBSCRIPTION,177688.0,161712.63,100908.11,90603.03,118,Cancelled,-15975.369999999995,-10305.080000000002
TXN0000087,2026-02-07,D009,R001,SUBSCRIPTION,116362.5,120052.46,109682.99,127255.94,45,Pending,3689.9600000000064,17572.949999999997
TXN0000088,2025-07-21,D008,R004,SERVICES,217587.8,169425.89,100226.22,98913.47,138,Pending,-48161.909999999974,-1312.75
TXN0000089,2025-08-08,D004,R001,SOFTWARE,155494.24,107300.53,84968.33,78510.16,65,Completed,-48193.70999999999,-6458.169999999998
TXN0000090,2024-06-14,D006,R003,SUBSCRIPTION,208589.68,240373.29,102695.61,97541.08,40,Completed,31783.610000000015,-5154.529999999999
TXN0000091,2025-03-14,D004,R001,SERVICES,178382.73,173479.26,92329.18,76548.16,21,Pending,-4903.470000000001,-15781.01999999999
TXN0000092,2026-01-05,D007,R004,CONSULTING,145838.99,138846.16,99218.51,130695.48,20,Completed,-6992.829999999987,31476.97
TXN0000093,2024-10-02,D007,R004,SUBSCRIPTION,141261.49,155988.0,82985.39,78334.27,152,Pending,14726.51000000001,-4651.119999999995
TXN0000094,2026-09-03,D008,R006,HARDWARE,230710.09,184106.69,143834.48,145339.06,112,Cancelled,-46603.399999999994,1504.5799999999872
TXN0000095,2026-09-26,D009,R001,SERVICES,152623.11,186008.92,92964.0,77137.94,61,Completed,33385.81000000003,-15826.059999999998
TXN0000096,2025-11-19,D007,R004,CONSULTING,110090.97,101953.25,82938.48,81425.89,176,Pending,-8137.720000000001,-1512.5899999999965
TXN0000097,2026-12-29,D003,R003,SERVICES,146545.01,146174.96,72701.29,72218.9,11,Pending,-370.05000000001746,-482.3899999999994
TXN0000098,2024-06-20,D010,R002,SOFTWARE,158880.51,166125.82,110834.22,94995.79,169,Pending,7245.309999999998,-15838.430000000008
TXN0000099,2024-12-04,D003,R003,SERVICES,161059.44,171377.15,69635.99,70408.34,71,Pending,10317.709999999992,772.3499999999913
TXN0000100,2025-11-22,D006,R003,HARDWARE,242852.06,282545.95,140289.35,178873.04,102,Completed,39693.890000000014,38583.69
TXN0000101,2026-08-21,D007,R004,SOFTWARE,182805.51,196204.58,107260.08,121536.83,9,Cancelled,13399.069999999978,14276.75
TXN0000102,2025-04-04,D001,R001,HARDWARE,200690.79,187185.55,134964.65,167246.67,171,Completed,-13505.24000000002,32282.02000000002
TXN0000103,2025-12-02,D001,R001,SERVICES,161952.34,150538.85,80566.08,89223.5,10,Cancelled,-11413.48999999999,8657.419999999998
TXN0000104,2024-08-22,D003,R003,CONSULTING,82907.18,89516.25,71725.6,74645.81,149,Completed,6609.070000000007,2920.209999999992
TXN0000105,2024-09-12,D008,R004,HARDWARE,252844.46,277759.57,93701.66,105020.52,160,Cancelled,24915.110000000015,11318.86
TXN0000106,2025-09-29,D002,R002,SERVICES,148530.11,158460.37,79352.08,84163.64,32,Cancelled,9930.26000000001,4811.559999999998
TXN0000107,2026-07-02,D001,R001,SUBSCRIPTION,146770.41,135486.8,77762.24,87707.01,106,Completed,-11283.610000000015,9944.76999999999
TXN0000108,2025-12-05,D002,R002,SUPPORT,97759.47,96787.92,57936.23,64473.38,31,Completed,-971.5500000000029,6537.149999999994
TXN0000109,2024-03-25,D010,R002,SUBSCRIPTION,147204.35,140993.48,95433.13,114628.39,93,Cancelled,-6210.869999999995,19195.259999999995
TXN0000110,2026-02-11,D007,R004,SOFTWARE,193395.29,165116.88,143031.61,146753.57,170,Completed,-28278.410000000003,3721.960000000021
TXN0000111,2024-04-08,D001,R001,CONSULTING,139723.23,140774.13,75324.09,79483.13,115,Completed,1050.8999999999942,4159.040000000008
TXN0000112,2024-12-26,D008,R004,CONSULTING,127461.38,131156.69,84825.32,111706.18,138,Completed,3695.3099999999977,26880.859999999986
TXN0000113,2026-09-17,D010,R002,SUBSCRIPTION,214202.31,207868.83,109374.05,125327.32,124,Pending,-6333.4800000000105,15953.270000000004
TXN0000114,2024-06-26,D010,R002,SERVICES,141404.27,149003.68,99881.0,96431.99,76,Pending,7599.4100000000035,-3449.0099999999948
TXN0000115,2026-02-15,D004,R001,SUBSCRIPTION,130851.39,122595.64,66170.06,71433.29,91,Completed,-8255.75,5263.229999999996
TXN0000116,2026-09-25,D008,R004,SERVICES,131538.23,119639.01,107698.69,104617.46,59,Completed,-11899.220000000016,-3081.229999999996
TXN0000117,2025-07-19,D005,R002,SUBSCRIPTION,82329.66,106512.43,89218.15,91489.42,147,Completed,24182.76999999999,2271.270000000004
TXN0000118,2025-09-05,D009,R001,SOFTWARE,171288.01,158984.36,90525.14,117943.25,109,Pending,-12303.650000000023,27418.11
TXN0000119,2026-02-09,D009,R001,SUPPORT,90225.65,80942.42,54787.7,61802.76,170,Pending,-9283.229999999996,7015.060000000005
TXN0000120,2025-08-25,D008,R004,SOFTWARE,178938.79,187839.29,100435.72,95001.01,61,Pending,8900.5,-5434.710000000006
TXN0000121,2026-01-25,D004,R001,SUBSCRIPTION,83652.07,81458.87,105717.7,109666.4,126,Cancelled,-2193.2000000000116,3948.699999999997
TXN0000122,2025-08-11,D009,R001,SUPPORT,67198.31,74598.65,48155.21,49989.53,95,Pending,7400.3399999999965,1834.3199999999997
TXN0000123,2024-04-09,D005,R002,SERVICES,158186.14,110956.7,69644.9,62951.38,54,Completed,-47229.44000000002,-6693.519999999997
TXN0000124,2025-01-14,D002,R002,SUPPORT,70201.53,60124.71,61274.39,61026.28,54,Completed,-10076.82,-248.11000000000058
TXN0000125,2026-10-12,D008,R004,SUBSCRIPTION,149604.17,162376.27,106694.35,103446.1,157,Completed,12772.099999999977,-3248.25
TXN0000126,2025-10-04,D007,R002,HARDWARE,232914.87,228314.91,115974.17,139454.54,97,Completed,-4599.959999999992,23480.37000000001
TXN0000127,2024-03-04,D005,R005,HARDWARE,192107.99,192366.69,112323.7,120255.03,18,Cancelled,258.70000000001164,7931.330000000002
TXN0000128,2026-02-10,D005,R002,SERVICES,87535.38,84483.83,108071.81,141850.41,31,Completed,-3051.550000000003,33778.600000000006
TXN0000129,2026-06-21,D010,R002,CONSULTING,124153.22,140958.14,89416.15,102655.46,92,Completed,16804.920000000013,13239.310000000012
TXN0000130,2024-08-21,D001,R001,CONSULTING,131925.54,140695.4,55204.35,53540.96,21,Pending,8769.859999999986,-1663.3899999999994
TXN0000131,2024-01-11,D008,R005,SERVICES,140464.54,130324.11,89727.11,84606.1,149,Completed,-10140.430000000008,-5121.009999999995
TXN0000132,2026-02-05,D002,R002,SOFTWARE,193227.39,206664.45,80034.53,96363.55,160,Cancelled,13437.059999999998,16329.020000000004
TXN0000133,2026-02-18,D010,R002,SUBSCRIPTION,207965.66,179546.82,104606.93,115691.49,120,Pending,-28418.839999999997,11084.560000000012
TXN0000134,2025-09-17,D005,R002,CONSULTING,110941.58,103000.09,76317.27,85468.49,150,Cancelled,-7941.490000000005,9151.220000000001
TXN0000135,2024-07-22,D001,R001,SUPPORT,80093.41,76580.27,42621.38,44086.97,58,Completed,-3513.1399999999994,1465.5900000000038
TXN0000136,2025-06-05,D005,R002,SERVICES,116075.15,118232.85,120800.4,159421.57,49,Cancelled,2157.7000000000116,38621.17000000001
TXN0000137,2026-11-07,D002,R002,CONSULTING,112048.15,117794.52,77483.64,79220.16,157,Pending,5746.37000000001,1736.520000000004
TXN0000138,2025-02-08,D005,R006,SUPPORT,89433.19,97347.08,70583.05,67933.96,121,Completed,7913.889999999999,-2649.0899999999965
TXN0000139,2025-09-02,D004,R001,SUPPORT,100245.01,89607.71,63558.48,66191.86,113,Completed,-10637.299999999988,2633.3799999999974
TXN0000140,2025-06-28,D009,R001,SERVICES,138124.28,129203.44,93441.14,100189.19,41,Completed,-8920.839999999997,6748.050000000003
TXN0000141,2025-08-14,D001,R001,HARDWARE,242167.7,256080.31,170074.11,185951.66,117,Completed,13912.609999999986,15877.550000000017
TXN0000142,2026-04-04,D008,R004,SUPPORT,96959.82,85311.23,56827.65,61985.97,74,Cancelled,-11648.590000000011,5158.32
TXN0000143,2024-03-22,D009,R001,SOFTWARE,178718.41,212281.82,121994.41,138022.98,115,Completed,33563.41,16028.570000000007
TXN0000144,2025-04-13,D007,R002,SOFTWARE,183114.31,170064.53,101863.95,87533.79,177,Cancelled,-13049.779999999999,-14330.160000000003
TXN0000145,2025-05-07,D010,R002,SUPPORT,110343.25,95690.58,47127.46,46617.33,152,Completed,-14652.669999999998,-510.1299999999974
TXN0000146,2026-06-24,D003,R003,SUPPORT,106715.88,123019.49,41927.07,46367.48,76,Completed,16303.61,4440.4100000000035
TXN0000147,2024-05-07,D010,R002,CONSULTING,113361.01,111133.5,93137.66,102212.84,125,Completed,-2227.5099999999948,9075.179999999993
TXN0000148,2024-02-08,D007,R004,SUPPORT,115589.07,101501.92,50398.83,42329.94,46,Completed,-14087.150000000009,-8068.889999999999
TXN0000149,2026-03-31,D007,R004,HARDWARE,180236.03,147488.31,127187.1,92933.15,145,Completed,-32747.72,-34253.95000000001
TXN0000150,2025-10-24,D008,R004,HARDWARE,281399.82,267549.87,121838.19,157148.51,34,Pending,-13849.950000000012,35310.32000000001
TXN0000151,2026-04-08,D009,R001,SOFTWARE,178397.38,190299.67,121876.82,109418.39,110,Completed,11902.290000000008,-12458.430000000008
TXN0000152,2026-10-17,D004,R001,SUBSCRIPTION,168328.06,150873.71,125356.32,108313.85,165,Pending,-17454.350000000006,-17042.47
TXN0000153,2024-09-25,D001,R001,SUBSCRIPTION,141643.25,125238.69,107121.84,95606.0,78,Pending,-16404.559999999998,-11515.839999999997
TXN0000154,2025-05-05,D008,R004,SUPPORT,76515.84,88723.74,59148.46,54630.85,45,Completed,12207.900000000009,-4517.610000000001
TXN0000155,2025-05-04,D009,R006,SOFTWARE,230139.17,184302.04,141607.45,161142.68,34,Pending,-45837.130000000005,19535.22999999998
TXN0000156,2026-10-17,D002,R002,SERVICES,147203.81,155045.13,89548.61,91311.83,79,Cancelled,7841.320000000007,1763.2200000000012
TXN0000157,2026-08-25,D005,R002,CONSULTING,93965.32,97015.18,67111.89,66449.97,67,Pending,3049.859999999986,-661.9199999999983
TXN0000158,2026-06-11,D009,R001,SERVICES,139586.14,136845.28,101162.15,109770.4,39,Completed,-2740.860000000015,8608.25
TXN0000159,2025-11-27,D005,R002,CONSULTING,140342.56,132068.43,98455.96,116594.81,134,Completed,-8274.130000000005,18138.84999999999
TXN0000160,2026-09-29,D001,R001,HARDWARE,152493.62404958677,279803.56,156768.76,168369.71,43,Pending,127309.93595041323,11600.949999999983
TXN0000161,2026-11-02,D009,R001,HARDWARE,213382.12,216626.45,148403.76,168382.96,121,Completed,3244.3300000000163,19979.199999999983
TXN0000162,2026-02-23,D004,R001,SERVICES,140724.37,102391.7,102386.95,100497.09,64,Pending,-38332.67,-1889.8600000000006
TXN0000163,2026-02-19,D001,R001,CONSULTING,94403.24,98528.54,85074.44,89994.38,103,Completed,4125.299999999988,4919.940000000002
TXN0000164,2026-10-25,D008,R004,SERVICES,146284.47,190648.34,106453.36,104958.77,156,Completed,44363.869999999995,-1494.5899999999965
TXN0000165,2024-07-23,D002,R002,CONSULTING,114955.24,115620.09,78360.13,80149.77,139,Pending,664.8499999999913,1789.6399999999994
TXN0000166,2024-12-11,D001,R001,CONSULTING,151888.55,121754.0,57478.05,67246.48,24,Pending,-30134.54999999999,9768.429999999993
TXN0000167,2026-03-25,D005,R002,SUPPORT,115361.49,117070.33,54421.4,48495.6,171,Completed,1708.8399999999965,-5925.800000000003
TXN0000168,2026-02-17,D006,R003,SUBSCRIPTION,172672.42,184593.09,82770.42,79084.33,86,Pending,11920.669999999984,-3686.0899999999965
TXN0000169,2025-11-08,D009,R005,SERVICES,107736.33,141543.63,96865.42,84904.37,63,Completed,33807.3,-11961.050000000003
TXN0000170,2024-07-24,D007,R004,SUPPORT,119915.52,119751.41,45583.25,45206.94,118,Completed,-164.11000000000058,-376.3099999999977
TXN0000171,2025-02-28,D005,R002,SOFTWARE,172183.95,149398.15,116196.17,90013.81,19,Completed,-22785.800000000017,-26182.36
TXN0000172,2025-05-15,D006,R003,SERVICES,137929.79,178469.39,100195.22,89724.76,140,Pending,40539.600000000006,-10470.460000000006
TXN0000173,2024-12-14,D010,R002,SERVICES,154358.14,178612.37,91088.84,98053.89,49,Completed,24254.22999999998,6965.050000000003
TXN0000174,2025-08-05,D010,R002,SUBSCRIPTION,157415.61,124751.89,110737.69,103932.55,132,Cancelled,-32663.719999999987,-6805.139999999999
TXN0000175,2025-04-06,D003,R003,SUPPORT,89349.44,76292.86,42409.18,43093.87,122,Completed,-13056.580000000002,684.6900000000023
TXN0000176,2025-12-08,D001,R001,CONSULTING,114960.87,80510.3,53023.18,39291.81,178,Cancelled,-34450.56999999999,-13731.370000000003
TXN0000177,2025-04-09,D003,R006,SUBSCRIPTION,114383.6,115057.97,100949.97,115920.71,168,Pending,674.3699999999953,14970.740000000005
TXN0000178,2025-11-02,D005,R002,HARDWARE,219857.34,231104.3,118125.94,124188.17,103,Pending,11246.959999999992,6062.229999999996
TXN0000179,2026-05-01,D002,R002,SUBSCRIPTION,166001.42,129710.8,60599.02,58375.08,152,Completed,-36290.62000000001,-2223.939999999995
TXN0000180,2024-01-17,D005,R006,HARDWARE,291188.39,347180.97,159867.55,162033.08,149,Completed,55992.57999999996,2165.529999999999
TXN0000181,2025-04-16,D010,R002,HARDWARE,222361.36,243580.74,129991.07,153173.72,160,Completed,21219.380000000005,23182.649999999994
TXN0000182,2025-05-28,D004,R001,SUBSCRIPTION,190227.12,164417.56,82292.61,95347.86,178,Completed,-25809.559999999998,13055.25
TXN0000183,2024-03-21,D002,R002,SUPPORT,123619.23,121274.12,48935.15,55210.87,84,Pending,-2345.1100000000006,6275.720000000001
TXN0000184,2024-09-26,D001,R001,SUPPORT,84810.37,110439.49,58732.66,56295.87,28,Completed,25629.12000000001,-2436.790000000001
TXN0000185,2025-02-15,D006,R003,SERVICES,139386.26,139599.08,114134.88,120249.73,38,Cancelled,212.81999999997788,6114.849999999991
TXN0000186,2024-02-12,D006,R003,HARDWARE,244295.31,198057.24,121271.21,77637.49,70,Pending,-46238.07000000001,-43633.72
TXN0000187,2024-08-23,D005,R002,HARDWARE,235809.24,239171.05,160014.95,148321.27,124,Completed,3361.8099999999977,-11693.680000000022
TXN0000188,2026-03-24,D003,R003,SERVICES,145656.19,151696.8,99240.54,113995.69,147,Completed,6040.609999999986,14755.150000000009
TXN0000189,2025-06-25,D002,R002,SOFTWARE,174406.88,171085.42,125552.41,137902.44,142,Completed,-3321.459999999992,12350.029999999999
TXN0000190,2025-06-20,D008,R004,SUPPORT,79865.88,82676.74,58483.07,65777.96,154,Pending,2810.8600000000006,7294.890000000007
TXN0000191,2026-08-23,D006,R003,SERVICES,139356.04,132529.07,100949.11,106406.44,11,Cancelled,-6826.970000000001,5457.330000000002
TXN0000192,2025-03-29,D007,R001,SUBSCRIPTION,193084.45,169351.73,64948.12,67828.14,170,Completed,-23732.72,2880.019999999997
TXN0000193,2026-04-16,D008,R004,HARDWARE,201479.03,258569.19,153038.89,142536.76,34,Completed,57090.16,-10502.130000000005
TXN0000194,2026-05-10,D001,R001,HARDWARE,259452.17,272658.85,133544.85,135805.24,34,Completed,13206.679999999964,2260.389999999985
TXN0000195,2026-06-03,D004,R001,SERVICES,131213.97,92672.9,80250.1,99348.55,121,Completed,-38541.07000000001,19098.449999999997
TXN0000196,2024-12-11,D009,R001,SUPPORT,96187.35,101026.04,58784.37,67170.05,111,Completed,4838.689999999988,8385.68
